name,stars,review_count,latitude,longitude
Cafe Noodle & Chinese Barbeque,3.0,155,36.125908,-115.197904
Pho Kim Long,3.5,1514,36.126177,-115.193971
Mastroianni Fashions,3.0,9,36.151434,-115.207675
Universal Carpet Care,3.0,6,36.1316793,-115.1908457
Meadows Chiropractic,5.0,10,36.143566401099,-115.188219472491
United Auto Glass,5.0,25,36.1301936,-115.1943695
Floral 2000,4.0,13,36.1452344,-115.1669237
"Oiga, Mire, Vea Colombian Cuisine",3.5,48,36.142935,-115.207747
The Water Heater Man,5.0,7,36.1364181,-115.1899737
Beaut Point Hair Studio,4.0,13,36.1263784,-115.1969938
Courtyard Deli,5.0,3,36.145672,-115.187809
Office Depot,2.5,3,36.145868,-115.189871
Subway,2.5,5,36.130335,-115.206002
Mariana's Supermarket,3.5,25,36.1442441,-115.1901021
Art encounter,4.0,4,36.085639,-115.198439
Food-4 Less,3.0,7,36.1451911,-115.1925931
Pho Vietnam Restaurant,3.0,65,36.1263784,-115.1969938
Einstein Bros,3.0,32,36.1430045,-115.2080092
Randall's Fine Art Custom Framing,5.0,6,36.1245825,-115.2086713
Pioneer Tv Service,4.0,7,36.151081188046,-115.1892
Y2K Nail Salon,2.5,15,36.126598,-115.205743
Bare Essentials-Fantasy Fashions,4.0,4,36.143919,-115.1954442
Expo Nails,4.0,4,36.1445104,-115.1908364
Nail Gossip,3.5,11,36.1300485,-115.2074377
Alchemist Pool Service,2.5,5,36.136832,-115.185099
Sesame House,4.0,5,36.1263667,-115.197655
Smith's Food & Drug Centers,3.5,12,36.131143,-115.206691
China Joe's,3.5,7,36.1445245,-115.1908392
Las Pupusas Restaurant,4.0,40,36.1319122314453,-115.192405700684
Starbucks,3.5,30,36.1440239090338,-115.207057252581
Romano's Macaroni Grill,3.0,72,36.1444845,-115.1747246
Landry's Seafood,3.0,130,36.144997,-115.175625
Pho So 1,3.5,589,36.1262669,-115.2062973
Pho Nhu  Y,2.5,7,36.125908,-115.197904
Play It Again Sam,3.5,11,36.1268920898438,-115.195014953613
Tofu Hut,3.5,346,36.1264888197184,-115.193426683545
Tacos El Burrito Loco,3.5,8,36.1463479,-115.1905468
SuperPawn,1.5,3,36.130566,-115.189212
Sunrise Dental,4.5,4,36.1270428,-115.2249924
Dotty's #7,3.5,3,36.1486584,-115.2098129
PT's,3.5,12,36.1472,-115.1892
Borders Book Shop & Cafe,3.5,7,36.1467442,-115.2080477
Sheplers Western Wear,3.0,6,36.1446554,-115.2050056
Velvet Underground,4.5,19,36.158456,-115.198501
Avis Rent A Car,5.0,3,36.1462228,-115.207528
Las Vegas Elks Lodge No 1468,4.5,3,36.1591024,-115.1965024
"Jimenez Francis, MD",4.5,4,36.159401,-115.183978
Walmart Supercenter,2.0,52,36.1583021267405,-115.203527212143
Vons,2.5,3,36.1447806,-115.2056316
Fancy Nails,3.5,12,36.1462228,-115.207528
Purrfect Auto Services,2.5,8,36.1494598,-115.2077025
Samosa Factory,4.0,148,36.145118,-115.20472
Cookies by Design,4.5,7,36.1176742,-115.2082992
Lone Star Steakhouse & Saloon,1.5,3,36.153466,-115.207382
Supercuts,2.5,3,36.15594,-115.206698
The Bead Shack,3.5,8,36.1494178452585,-115.192976550293
Rice To-Go,3.0,10,36.126543,-115.206888
M J Construction Company,1.0,5,36.1368482,-115.2084324
Dun Rite Auto Body,3.5,3,36.1273414,-115.1858929
Pacific Auto Care,5.0,4,36.1563632,-115.1537324
Dr. Maria Pilar Faylona MD,4.5,3,36.159297,-115.198132
Always & Forever Weddings and Receptions,4.5,19,36.1389598,-115.2837833
Escape Eagles,4.5,5,36.1301936,-115.1943695
Wienerschnitzel,1.0,3,36.14402,-115.194408
Mrs. Williams Bakery,4.5,15,36.1268272,-115.2075436
Autozone,3.5,16,36.1266042,-115.2087157
New India Market,3.0,5,36.143838,-115.203815
Rose's Cleaners and Alterations,4.5,24,36.1263157,-115.2036317
Wet Lace Custom Design Swimwear & Apparel,5.0,4,36.144051,-115.198702
Wax Trax Records Inc,2.5,36,36.1370696,-115.2084934
Shelter Cove Apts,2.5,5,36.1417688,-115.2085131
Shilla Korean BBQ,3.0,45,36.1438599,-115.178936
Cellar Lounge,4.0,32,36.1434033,-115.1891941
The Wedding Room,5.0,6,36.143623,-115.189206
Hawaiian Hale,4.0,17,36.1457714,-115.1907265
Sahara Surgery Center,2.5,3,36.145742,-115.17684
Nails For You,3.5,45,36.1255979,-115.205231
Spinetti's Home Gaming Supplies,4.5,26,36.163561082085,-115.152018070221
Kfc,1.5,5,36.1447963,-115.200935
Oriental Angels,3.5,3,36.1451859,-115.1766297
Pizza Hut,2.5,14,36.1439743670324,-115.184268951416
Jimmy John's,4.0,47,36.1590906,-115.1721079
Aloha Kitchen & Bar,3.5,257,36.1423109,-115.2084303
The Triple Play,4.5,34,36.1510276794434,-115.208770751953
Chinatown Express Restaurant,3.5,8,36.1263305693865,-115.197076499462
Escape Lounge,3.0,6,36.1442579,-115.1975743
Red Robin,3.0,6,36.143114,-115.208505
The Gourmet Cake Factory,4.0,11,36.1573602,-115.2240674
Puppy Love,3.0,4,36.1268272,-115.2075436
Accurate Performance Machine Shop,5.0,4,36.1299358,-115.1938309
Jack's Pub,2.5,18,36.1444267,-115.1748216
Japanese Car Service,4.5,77,36.1262013,-115.2148185
Habib's Tailoring & Leather Repairs,5.0,60,36.129418,-115.2084872
Limelite Pro Audio & Dj Supply,3.5,6,36.143838,-115.203815
Children's Choice Learning Center at Palace Station,2.5,3,36.1403752,-115.1754127
Frank's European Service,3.5,14,36.193783,-115.242962
Church's Chicken,3.5,20,36.1264833,-115.2076648
Guardian Heating & Cooling,1.5,4,36.0748934,-115.1796713
Tacos Mexico,3.5,59,36.144737,-115.191245
Epoy's Filipino Fast Food,3.0,5,36.144051,-115.198702
India Oven,3.5,78,36.1446996,-115.1551759
Little Darlings,2.5,54,36.1538789,-115.1614641
Everything Medical,3.0,4,36.158683,-115.1663612
Nozomi Japanese Restaurant,3.5,35,36.1597281538162,-115.171989798546
Trader Joe's,4.5,143,36.1486584,-115.2098129
Nedco Supply,3.5,3,36.1268739,-115.1961607
Dubarry Fashions,3.5,4,36.128606,-115.208703
Marie's Gourmet Bakery,4.5,16,36.144952,-115.1766513
AAMCO Transmissions & Total Car Care,5.0,42,36.13632,-115.191677
Coffee Pub,4.0,138,36.145534,-115.179144
Big Lots,3.5,18,36.1263747,-115.2054938
The Broiler,3.5,28,36.1441893,-115.1744492
Palace Station Hotel & Casino,2.5,352,36.1431918,-115.1750346
Ichiza,4.0,1126,36.1259078979492,-115.197906494141
Kao Auto Styling,3.0,10,36.1267214,-115.1956911
Home Fabrics,3.5,9,36.1513722,-115.2082029
The UPS Store,5.0,5,36.145694732666,-115.188400268555
Dealers Choice Lounge,3.5,4,36.1263057,-115.2031272
European Motor Cars,3.0,14,36.1265588,-115.1860805
Western Oriental Super Market,2.5,6,36.1264963,-115.1918819
Good Hands Massage Day Spa,3.0,9,36.125085,-115.1904423
Gianna's Pizza,4.0,24,36.145733,-115.190277
Pheasant Cigars,4.5,9,36.1444729,-115.1804461
Leatherneck Club of Greater Nv 186,4.5,14,36.127003,-115.198381
Boomer's Bar,3.5,16,36.1339943,-115.1835685
Diamond Bakery,3.5,79,36.1254312,-115.1969657
Dan Bradley Glass Shop,2.5,7,36.129747,-115.195007
T & T Ginseng,3.5,13,36.1264133,-115.1949524
Moon Doggies,4.0,50,36.13089,-115.198727
Desert Realty,2.5,6,36.1445634,-115.1842463
Sam Woo BBQ Restaurant,2.0,310,36.1263784,-115.1969938
En Fuego Cigars & Lounge,4.5,42,36.1441601,-115.1616961
Red Rooster Antique Mall,3.0,6,36.1582473,-115.1595154
Wendy's,2.0,6,36.158457,-115.165013
Sushi House Manda,5.0,4,36.102015,-115.2965319
The Jewelers of Las Vegas,5.0,17,36.145508,-115.166993
Sparkle Cleaners & Laundry,3.5,11,36.1438565,-115.1615076
Kellys Kasino,5.0,3,36.1522139,-115.1629416
University Medical Center,2.5,49,36.1589569,-115.1655841
Korean Garden BBQ House,3.0,142,36.125908,-115.197904
Desert Ink Tattoo,5.0,4,36.1472,-115.1892
Cheetah's,2.5,45,36.1478492,-115.1658636
Fischer's Auto Body,4.5,3,36.1493636,-115.1644114
Golden Steer,3.5,304,36.1440928,-115.1611434
"Action Air Conditioning, Inc",4.5,18,36.1489291,-115.1660747
Carl's Jr,3.0,13,36.1592159,-115.1619706
Book Magician,2.5,6,36.1472,-115.1892
A & R Appliance,3.0,13,36.1493741,-115.1641014
Omelet House,4.0,445,36.1590433,-115.1711308
The Hard Hat Lounge,3.5,16,36.151189,-115.159755
Adar Kosher Pizza Restaurant,2.0,14,36.1438391,-115.1610842
Flex Cocktail Lounge,3.5,14,36.1588404,-115.1989841
Naakiti Floral Design,4.0,9,36.075108,-115.193173
Atlas Group LC,3.0,10,36.1589553,-115.1942582
Artistic Iron Works,3.5,17,36.158406,-115.155484
Real Donuts,4.5,79,36.158683,-115.1663612
Gerardo's Classic Barber Shop,4.0,54,36.1264130473137,-115.192523449659
Tahoe Springs,3.5,12,36.149279,-115.160755
Kelly's Glass & Mirror Company,3.0,14,36.1289516,-115.187206
One Nevada Credit Union,1.0,8,36.1631667,-115.2441467
Mr. Rooter Plumbing,1.5,13,36.148115,-115.163887
Charlie Cheap Car,3.5,9,36.1449968,-115.1666976
Capriotti's Sandwich Shop,4.5,236,36.1441292,-115.1614606
Montesano's Italian Deli,5.0,4,36.1443115,-115.1875972
Desert Inn Auto Repair and Body Shop,2.0,4,36.1300183,-115.1979396
Moore Protection Services,2.5,3,36.1263821,-115.195751
Bad Attitude Boutique - The Corset Store,4.5,15,36.143749,-115.141486
The Salvation Army,3.5,14,36.1589783,-115.1938041
Zamboni William A MD,4.0,4,36.158047,-115.164362
A-1 Jewelry Supply,4.0,4,36.1430045,-115.2080092
Macy's,3.0,16,36.1266945360286,-115.20012042664
Presidential Limousine,4.5,208,36.147817,-115.1625518
Gray Line of Las Vegas,1.5,3,36.153584,-115.159138
Frame Fixer,4.0,28,36.1589382,-115.1934827
Wells Fargo Bank,3.5,5,36.1450048,-115.1860818
Lucky Tropical Fish,4.0,14,36.125254,-115.20555
AAA Resume & Writing Service,4.0,4,36.1437297,-115.2376269
Rapid-Care Medical Clinic,3.0,6,36.1125873,-115.2078295
High Tech Transmissions & Automotive,5.0,3,36.1497318,-115.208265
"Paul Thompson, OD PC",5.0,7,36.157919,-115.203097
Panda Express,3.5,10,36.1447295,-115.2041571
Las Vegas Bouquet,4.5,4,36.1587435,-115.1662213
Julio L Garcia MD,4.0,6,36.0798619,-115.2426305
PetSmart,4.0,17,36.1569627,-115.2065022
Habib's Persian Cuisine,3.5,52,36.143114,-115.208505
Food Express Chinese Restaurant,4.0,125,36.1497263,-115.2076644
China Star,2.5,27,36.1590061,-115.2026403
El Pollo Loco,3.0,24,36.1450429,-115.2076154
Bonds House of Cutlery,3.0,8,36.1458918,-115.1891244
Regal Upholstery & Drapery Co.,5.0,3,36.1587871,-115.1988187
Best Burger,3.5,3,36.1445909,-115.2026919
US Nail & Spa,2.5,10,36.1565434,-115.206903
Sly Parrot Bird Company,5.0,5,36.130622,-115.196978
Meatheads Video Poker Bar,4.0,11,36.1582348,-115.2056775
Don Tortaco's,4.0,22,36.1445909,-115.2026919
T J Maxx,3.5,9,36.1446131,-115.2030701
A Dog's Best Friend,4.5,3,36.1588444,-115.1984838
Nevada Legal Forms & Tax Services,3.5,4,36.1589349,-115.1926105
Kelly Chiropractic & Rehabilitation Center,5.0,4,36.1557246,-115.1996422
Sally Beauty Supply,1.5,6,36.1565434,-115.206903
Chili's Grill & Bar,4.0,5,36.143476,-115.206941
Valley Press Inc,5.0,3,36.0788073,-115.1131041
K & B Door Company,5.0,3,36.132956,-115.188587
B&C Camera,3.5,24,36.1443799,-115.2013983
Island Style,4.5,467,36.1440209,-115.1938661
Precision Performance,5.0,20,36.129046,-115.184116
Nevada Off Road Buggy,4.5,5,36.134359,-115.189895
Hobby People,2.5,14,36.1425317,-115.2080285
Circle K Stores,3.0,5,36.1259439,-115.198686
Sand Dollar Lounge,4.5,9,36.1258315,-115.1847825
Wally's Independent Honda & Acura Service Center,4.5,29,36.129046,-115.184116
Chapala's Mexican Restaurant,3.0,18,36.1486584,-115.2098129
1-Day Paint & Body Centers,2.5,4,36.1261816,-115.2012443
Y Me Nails & Spa,3.5,23,36.1451859,-115.1766297
El Steak Burrito,4.0,10,36.1263007,-115.203735
Larkin Plumbing & Heating Company,2.5,15,36.1501397,-115.160615
Volcano Tea House,3.5,216,36.1254066953669,-115.195941391177
Ronald's Donuts,4.5,476,36.1265632,-115.2042227
Goldilocks Salon & Day Spa,4.0,13,36.145491,-115.17977
Jeeparts Back Country Products,4.0,4,36.1269959,-115.1855214
"Anthony's Glass and Mirror, Inc.",3.0,5,36.0712029,-115.192935
Concrete Accessories Inc,5.0,3,36.1365609,-115.187503
Community Family Doctors Ltd,1.5,5,36.152208,-115.202605
M & I International,3.5,29,36.1261269,-115.1906206
A Doggies Delight,4.0,5,36.1306097,-115.190894
Diamond China Restaurant,3.5,34,36.144017,-115.193618
Vegas Golf Inc,5.0,5,36.1464009360738,-115.207370882031
Ted Wiens Tire & Auto Centers,2.5,6,36.127074,-115.190832
Royal Thai Restaurant,4.5,11,36.144013,-115.193147
Hiew Agency - Allstate Insurance,5.0,3,36.12608,-115.229155
Cafe Verdi,2.5,44,36.132369,-115.1916549
George's Alignment & Brake Service,4.5,6,36.1362396,-115.1875039
Sonnis Auto Repair,5.0,7,36.131777,-115.189268
Enterprise Rent-A-Car,4.0,4,36.144251,-115.186915
Sherwin-Williams Paint Store,5.0,4,36.144369,-115.198066
Osaka Japanese Bistro,4.0,190,36.1443404,-115.1972121
Jimmy John's Gourmet Sandwiches,4.0,18,36.1439467,-115.2080383
Gonzalez Auto Repair,3.5,3,36.1276981,-115.2083502
Great Wall Bookstore,4.5,7,36.1263667,-115.197655
Chopstix Express,2.5,24,36.142482,-115.208553
Wash Tub Laundromat,3.5,12,36.1262617,-115.2070894
Skinny Dugans,4.0,22,36.1588614521949,-115.196836155822
Christmas Goose Country Gifts & Quilt Shop,4.5,6,36.134957,-115.277856
Napa Valley Pottery & Floral,4.5,6,36.158437,-115.195627
Blueberry Hill Family Restaurant,3.5,195,36.1564508,-115.2072046
Westgate Book Exchange,2.5,6,36.1589382,-115.1934741
Fabric Boutique,4.0,5,36.1589923,-115.2005267
Tuesday Morning,3.0,5,36.1576608,-115.2063189
Jack in the Box,2.5,10,36.1458129,-115.2076281
All Martial Arts Supplies,3.5,3,36.1588413,-115.1941805
Lindsey's Westgate Cleaners,4.5,4,36.1588509,-115.1943405
Planned Parenthood of Southern Nevada,2.5,16,36.1589859,-115.186054
Smart & Final,4.0,9,36.1588706,-115.2001367
Indian Hills Apartments,1.5,4,36.1472,-115.1892
Big 5 Sporting Goods,3.5,8,36.1583112,-115.2059614
"Rogers Water Conditioning, Inc",1.0,4,36.1586456,-115.1984489
Taco Bell,2.5,3,36.158728,-115.205348
Macayo Vegas,3.5,23,36.1589913,-115.2003983
The Envy Agency,1.0,4,36.120553,-115.154425
Baja Fresh Las Vegas,3.5,11,36.1446162,-115.2046243
Pain Institute of Nevada,5.0,4,36.163873,-115.173429
The UPS Store,4.0,4,36.1446346342564,-115.204343944788
Western Petroleum,4.5,13,36.1447294,-115.1192225
More Than Nails,4.0,40,36.135529,-115.278454
AAA,3.5,8,36.159418,-115.186609
A Dependable Insurance Agency,5.0,6,36.2915193,-115.286492
TGI Friday's,3.0,62,36.144807,-115.2026045
Eyeglass World,3.0,12,36.144011,-115.192624
Long Kevin Diep Optometrist,4.0,7,36.1263784,-115.1969938
Emperor's Garden,2.0,96,36.1263784,-115.1969938
Spring Mountain Vision,4.5,6,36.1264275,-115.193791
Adventure Photo Tours,3.5,9,36.1316793,-115.1908457
Joyful House Chinese Cuisine,3.5,309,36.1258338,-115.2034239
Hotai Furniture,3.0,8,36.1259,-115.204784
Xo Liquor,2.5,3,36.127056,-115.191518
Sunville Bakery,4.0,62,36.1261133,-115.1937996
Tea Station,3.0,487,36.125964,-115.1976
Safeway Driving School,4.5,6,36.127197,-115.279899
Globe Salon,4.5,73,36.1598104446401,-115.14714717865
Subway,2.5,3,36.158728,-115.067454
Albertsons,2.0,5,36.1573524475098,-115.125495910645
Fat Tuesday,4.0,18,36.1472468,-115.1560311
Armstrong Emporium,3.0,4,36.1564038,-115.1539
7-Eleven,3.0,6,36.158523,-115.148388
Statewide Lighting Contractors,4.0,4,36.1441641,-115.1439062
The Pain Clinic,5.0,9,36.143672,-115.21585
Terrible Herbst,2.5,3,36.143676,-115.137502
It's Paradise Boutique,3.5,3,36.1458744,-115.1533832
Seoul Korean Bar B Q Restaurant,1.5,3,36.1428997,-115.1404237
Glassman Kramer & Scarff,1.5,7,36.1445335,-115.1213724
Herrero Rebecca MD,2.5,3,36.1445335,-115.1213724
White Cross Drugs,4.0,25,36.150704,-115.15304
Breathe Oxygen Bar,3.0,4,36.147388,-115.156032
Blueberry Hill Family Restaurant,3.0,11,36.159189,-115.127554
Desert Star Motel,2.5,3,36.156348,-115.149487
Speakeasy Liquor & Market,3.5,5,36.1588675,-115.1397196
Contemporary Arts Center,4.5,6,36.159145,-115.152725
Dino's Lounge,4.0,119,36.152449,-115.1519934
Circle K Stores,3.0,9,36.145209,-115.156919
Desert Art Supplies,3.0,9,36.1588601,-115.1212085
Macayo Vegas,3.5,24,36.158865,-115.1272238
A Little White Wedding Chapel,3.5,100,36.1551708,-115.1492638
Econo Lodge,2.0,12,36.1573111,-115.1486005
Motorcycle Tire Center,4.5,13,36.1584891,-115.1184281
Lucky's Cafe,3.5,22,36.149751,-115.0762536
Buffet At the Stratosphere,2.5,81,36.147371,-115.155365
Roxy's Diner,3.0,159,36.1477095178536,-115.155205875635
Moore's Superior Automotive,4.5,3,36.152571,-115.157587
Jack In the Box,3.5,8,36.1523679,-115.153815
Bonanza General Store,3.5,45,36.1444232,-115.1576229
El Ausente,4.5,11,36.157276,-115.115242
Williams Costume Co,4.5,18,36.1561133,-115.1512025
Las Vegas Wheel Alignment & Brake Service,5.0,7,36.157586,-115.148682
Spring Meadows Presbyterian Church,5.0,4,36.050079,-115.268235
Denny's,3.0,28,36.1493938,-115.1538735
Sunrise Too Donuts,4.5,10,36.1589885,-115.1075936
St Francis Animal Hospital,4.0,5,36.1561329,-115.119124
Luv-It Frozen Custard,4.0,443,36.1515453,-115.1511544
Huntridge Tavern,4.0,35,36.1582982,-115.1371172
Kessler & Sons Music,5.0,4,36.1590313,-115.1062853
Boston Pizza,3.5,85,36.1530812,-115.1509664
Florida Cafe Cuban Bar & Grill,3.5,158,36.155323,-115.149618
All Star Donuts,3.5,6,36.1517796,-115.1515961
Hoppy's Transmission & Automotive,3.0,4,36.128501,-115.080842
World's Largest Gift Shop,2.5,41,36.1442185,-115.1571121
Smog King,4.0,4,36.1510486,-115.1067111
OG Gentlemen's Club,3.0,231,36.1522631,-115.151347
Pizza Hut,3.5,3,36.1588428,-115.124292
Snick's Place,4.5,19,36.1544947,-115.151433
Vick's Barber Shop,4.5,41,36.1238026,-115.2976902
Ocha Cuisine,4.0,119,36.156773,-115.148335
McDonald's,1.0,4,36.1584618,-115.119375
Hub Cap Annie,5.0,8,36.1585737,-115.118652
Resco Restaurant Equipment,4.5,11,36.158191,-115.135377
Chinatown Cuisine,4.5,4,36.1588445,-115.1212644
Howard Johnson Las Vegas Strip,2.0,18,36.1549743,-115.1497999
Esmeralda's Cafe,3.5,22,36.158279,-115.140667
Charleston Outlet,3.5,8,36.1587308,-115.1313418
Rincon Criollo,3.5,68,36.157345,-115.1483131
Tortas El Rey,4.5,4,36.158472,-115.123067
Purrfect Auto Service,3.0,6,36.158415,-115.125353
Residential Service Center,1.5,8,36.153598,-115.106839
FedEx Office Print & Ship Center,2.5,3,36.1454263,-115.0648047
Animal House Veterinary Hospital,3.0,4,36.146852,-115.06596
Food-4 Less,2.0,5,36.143001,-115.06704
PT's,1.5,3,36.147189,-115.0653489
Daisy Nail,4.5,3,36.1590424,-115.0768269
Coca-Cola Bottling Company,4.0,4,36.158757,-115.1055342
Target Stores,2.0,14,36.158209,-115.060804
Jake's Bar,4.5,7,36.1462521,-115.1186863
Kmart,3.5,4,36.1426423,-115.1113178
Fletcher Jones Toyota Scion,3.5,41,36.1442698,-115.1051184
Sahara Camera Center,3.5,4,36.144952,-115.1766513
Barley Pops,4.5,6,36.1586893,-115.0997112
Italian American Club Restaurant,4.5,38,36.1455103,-115.1163131
Vegas Trailer Supply,4.5,4,36.1506722,-115.1074589
Strickland John DC,5.0,5,36.1446065,-115.1217272
Sus Amigos Income Tax Service,4.5,3,36.145346,-115.1186021
Totem Tattoo,2.0,4,36.1586838,-115.089892
Veterinary Ophthalmology Service,5.0,5,36.144628,-115.12253
Charleston Swapmeet,4.0,3,36.1601407,-115.0761998
El Pollo Loco,3.5,4,36.1588157,-115.0877703
Hair & Nails Zone,2.0,9,36.1553731,-115.0629347
Donut Tyme,4.0,22,36.1590088,-115.0826791
24 Hour Fitness,3.5,13,36.1599794875749,-115.07757479824
Walgreens,4.0,4,36.158352,-115.14703
Los Tacos,4.0,155,36.1584563,-115.1275613
Silver Saddle Saloon,2.0,4,36.159498,-115.115574
Savers,3.0,15,36.158873,-115.1381442
Haagen Dazs,3.0,3,36.147371,-115.155365
Desert Pediatrics,3.0,7,36.216661,-115.249417
Big 5 Sporting Goods,2.0,5,36.158493,-115.08069
Joe's Barber Shop,5.0,16,36.143775,-115.082142
Xo Liquor,5.0,5,36.1585514,-115.0898496
National Home Warranty,1.5,26,36.153598,-115.106839
The Home Depot,3.5,11,36.156542,-115.082355
ABC Bartending Schools,4.5,10,36.1437338,-115.1484655
The Arts Factory,4.0,38,36.159147,-115.152728
The Funk House,3.5,18,36.156248,-115.152798
John Fish Jewelers,5.0,20,36.1434458383199,-115.141621823804
Fun City Motel,1.0,3,36.145022,-115.156178
Cafe Heidelberg German Market & Restaurant,3.5,41,36.1439863,-115.1464168
Komol Restaurant,4.0,468,36.1425239406037,-115.142526297451
Holiday House Holiday Motel,2.0,5,36.1454111,-115.156047
The Rack,4.0,10,36.143676,-115.141148
Jewelry & Minerals of Las Vegas,4.0,21,36.1440072,-115.1520292
Royal Crest Cleaners,3.5,7,36.145928,-115.137377
Birth Control Care Center,2.0,6,36.145955,-115.142939
Starborn Tattoo,5.0,5,36.1447394,-115.1564921
The Gay & Lesbian Community Center of Southern Nevada,4.5,12,36.161702,-115.134897
Tony Roma's,3.0,23,36.144308216575,-115.14569083294
Bloomers Florist,5.0,6,36.1439567,-115.1509102
Elephant BBQ Restaurant,4.0,10,36.1421289,-115.1423943
Marie Callender's Restaurants & Bakeries,3.0,16,36.1449619,-115.1460032
Las Vegas Uniforms,3.5,16,36.1438914,-115.1404551
Taco Bell,2.5,5,36.144553,-115.136886
A Mart,4.0,14,36.1439448,-115.1425224
My Cousin Vinny Sports Bar,3.0,6,36.1445765,-115.1298962
Cue Club,3.5,31,36.1439448,-115.1425224
Tower of Jewels,3.5,22,36.144571,-115.142582
Chapel of the Flowers,4.0,81,36.150515,-115.152584
Republic Services,2.5,24,36.09,-115.15
KFC,1.5,5,36.1442526,-115.1369445
Tokyo Japanese Restaurant,4.0,131,36.1429063,-115.1405587
Tiger Lily Floral,3.5,19,36.144345,-115.14529
Allied Collection Services Inc,1.5,9,36.1333866,-115.2772622
Reliable Auto Sales,4.5,6,36.1438535,-115.1270946
Nevada State Democratic Party,1.0,3,36.1885775,-115.196229
Pair-A-Dice Tattoo,4.5,18,36.143967,-115.153083
Badlands Saloon,4.0,17,36.1439448,-115.1425224
Eureka Casino,3.0,17,36.14323,-115.146866
Renta-Dress & Tux Shop,3.0,5,36.1186973,-115.1542695
Sin City Hostel,3.5,10,36.156587,-115.14933
Nevada Professional Collections,1.0,3,36.1600228,-115.1497805
Audio Xpert,4.0,4,36.1585759,-115.1183703
Birrieria Jalisco,3.0,6,36.1421289,-115.1423943
Sahara Korean Restaurant,4.5,6,36.1429063,-115.1405587
Pinoy Pinay Filipino Restaurant,3.5,97,36.144149,-115.1365689
Autos Unlimited,3.5,3,36.149099,-115.106409
New York Bagel Bakery,5.0,4,36.161153,-115.173902
Valley Hospital Medical Center,2.5,27,36.1638024,-115.1657371
Broadway Pizzeria,4.0,143,36.161671,-115.1732582
Southern Nevada Health District,4.0,17,36.168759,-115.194117
Rue 21,3.0,4,36.1652344,-115.1557533
Lacabana,3.5,19,36.1656948,-115.160885
Art Cleaners,4.5,8,36.160499,-115.172372
Puma Store,4.0,8,36.1649513,-115.156371
Vitamin World,3.5,4,36.1624815,-115.1574466
Las Vegas Rescue Mission,5.0,26,36.1775324,-115.1477766
Costco Business Center,4.0,45,36.1717114,-115.1626624
Zales Outlet,3.5,5,36.1624815,-115.1574466
"Susan L Boyd, MD",4.0,9,36.1585764,-115.1774887
Edward C Spoon Jr MD FACOG FACS,4.0,13,36.161627,-115.16803
Boyers Jerold E MD,1.0,3,36.1620869,-115.1657312
Van Heusen,4.0,4,36.1618836,-115.1581656
Vans,4.0,5,36.1652351,-115.1557538
Quiksilver Outlet,3.5,5,36.1649513,-115.156371
Nike Factory Store,4.0,35,36.1620931,-115.1579353
Lacoste Outlet Las Vegas,3.0,8,36.1624815,-115.1574466
Las Vegas Review-Journal,2.0,14,36.177116,-115.1557453
Cox Communications Residential Services,1.5,122,36.189293,-115.1629654
SKECHERS Factory Outlet,4.0,5,36.1620931,-115.1579353
SEIKO  Company Store,4.5,5,36.1624744,-115.1574766
Adidas,3.0,10,36.1629138,-115.1593311
Rack Room Shoes,3.0,4,36.163283,-115.1569215
